dataset,method,alpha,param,declared_T,path,error,shape,runs,T,regret_mean,regret_std,time_mean,time_std
MovieLens,FastPRB,0.85,eps0.000833,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps0.000833_T10000_lr10.0073_lr20.0004_202601272226,,10x10000x5,10,10000,2074.0,56.10347582815168,4252.502069330216,18.300305730563366
MovieLens,FastPRB,0.85,eps0.00416,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps0.00416_T10000_lr10.0073_lr20.0004_202601281620,,10x10000x5,10,10000,2074.0,56.10347582815168,2633.909301543236,176.55451624702903
MovieLens,FastPRB,0.85,eps0.00833,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps0.00833_T10000_lr10.0073_lr20.0004_202601270125,,10x10000x5,10,10000,2665.8,61.21568426473725,3946.540778923035,581.5728798295999
MovieLens,FastPRB,0.85,eps0.00833,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps0.00833_T10000_lr10.0073_lr20.0004_202601272226,,10x10000x5,10,10000,2074.7,55.40225627174402,4235.378361177444,32.71680717652066
MovieLens,FastPRB,0.85,eps0.0416,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps0.0416_T10000_lr10.0073_lr20.0004_202601281620,,10x10000x5,10,10000,2098.4,54.851071092550235,2623.70428879261,177.01734613128951
MovieLens,FastPRB,0.85,eps0.0833,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps0.0833_T10000_lr10.0073_lr20.0004_202601270125,,10x10000x5,10,10000,2861.8,57.46268354332227,3835.1916723012923,594.0018084995551
MovieLens,FastPRB,0.85,eps0.0833,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps0.0833_T10000_lr10.0073_lr20.0004_202601272226,,10x10000x5,10,10000,2428.2,61.01442452404185,3999.560775446892,22.58064855279888
MovieLens,FastPRB,0.85,eps0.416,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps0.416_T10000_lr10.0073_lr20.0004_202601281620,,10x10000x5,10,10000,7257.8,1697.7671689604556,2255.5066724061967,180.310250458353
MovieLens,FastPRB,0.85,eps0.833,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps0.833_T10000_lr10.0073_lr20.0004_202601281620,,10x10000x5,10,10000,8981.3,23.609531973336534,2091.792774438858,52.076989332040434
MovieLens,FastPRB,0.85,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_k10_initH0_initK0_lr10.0073_lr20.0004_h100_ks40_202605110943,,10x10000x5,10,10000,2898.0,78.00769192842459,4437.4929218769075,62.79563113769771
MovieLens,FastPRB,0.85,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps8.33e-05_T10000_k10_initH1_initK1_lr10.0073_lr20.0004_h100_ks40_202605110943,,10x10000x5,10,10000,2767.4,76.25772092057302,4391.676582241058,75.0889859683042
