path,entry_type,category,dataset,method,T,alpha,param,created,has_final_results,file_count,total_bytes,notes
results/baselines_new/MovieLens_KernelUCB_time.npy,baselines_new_file,incomplete_or_tiny,MovieLens,KernelUCB,,,,,False,1,288,time;small npy
results/baselines_new/MovieLens_LinUCB_regret.npy,baselines_new_file,incomplete_or_tiny,MovieLens,LinUCB,,,,,False,1,288,regret;small npy
results/baselines_new/MovieLens_LinUCB_time.npy,baselines_new_file,incomplete_or_tiny,MovieLens,LinUCB,,,,,False,1,288,time;small npy
results/baselines_new/MovieLens_NeuralGreedy_regret.npy,baselines_new_file,baseline,MovieLens,NeuralGreedy,,,,,False,1,800128,regret
results/baselines_new/MovieLens_NeuralGreedy_time.npy,baselines_new_file,baseline,MovieLens,NeuralGreedy,,,,,False,1,800128,time
results/baselines_new/MovieLens_NeuralTS_regret.npy,baselines_new_file,baseline,MovieLens,NeuralTS,,,,,False,1,800128,regret
results/baselines_new/MovieLens_NeuralTS_time.npy,baselines_new_file,baseline,MovieLens,NeuralTS,,,,,False,1,800128,time
results/baselines_new/MovieLens_NeuralUCB_regret.npy,baselines_new_file,baseline,MovieLens,NeuralUCB,,,,,False,1,800128,regret
results/baselines_new/MovieLens_NeuralUCB_time.npy,baselines_new_file,baseline,MovieLens,NeuralUCB,,,,,False,1,800128,time
results/baselines_new/PPA_NeuralGreedy_regret.npy,baselines_new_file,incomplete_or_tiny,PPA,NeuralGreedy,,,,,False,1,208,regret;small npy
results/baselines_new/PPA_NeuralGreedy_time.npy,baselines_new_file,incomplete_or_tiny,PPA,NeuralGreedy,,,,,False,1,208,time;small npy
results/baselines_new/PPA_NeuralTS_regret.npy,baselines_new_file,incomplete_or_tiny,PPA,NeuralTS,,,,,False,1,208,regret;small npy
results/baselines_new/PPA_NeuralTS_time.npy,baselines_new_file,incomplete_or_tiny,PPA,NeuralTS,,,,,False,1,208,time;small npy
results/baselines_new/PPA_NeuralUCB_regret.npy,baselines_new_file,incomplete_or_tiny,PPA,NeuralUCB,,,,,False,1,208,regret;small npy
results/baselines_new/PPA_NeuralUCB_time.npy,baselines_new_file,incomplete_or_tiny,PPA,NeuralUCB,,,,,False,1,208,time;small npy
results/baselines_new/Vessel_NeuralGreedy_regret.npy,baselines_new_file,incomplete_or_tiny,Vessel,NeuralGreedy,,,,,False,1,208,regret;small npy
results/baselines_new/Vessel_NeuralGreedy_time.npy,baselines_new_file,incomplete_or_tiny,Vessel,NeuralGreedy,,,,,False,1,208,time;small npy
results/baselines_new/Vessel_NeuralTS_regret.npy,baselines_new_file,incomplete_or_tiny,Vessel,NeuralTS,,,,,False,1,208,regret;small npy
results/baselines_new/Vessel_NeuralTS_time.npy,baselines_new_file,incomplete_or_tiny,Vessel,NeuralTS,,,,,False,1,208,time;small npy
results/baselines_new/Vessel_NeuralUCB_regret.npy,baselines_new_file,incomplete_or_tiny,Vessel,NeuralUCB,,,,,False,1,208,regret;small npy
results/baselines_new/Vessel_NeuralUCB_time.npy,baselines_new_file,incomplete_or_tiny,Vessel,NeuralUCB,,,,,False,1,208,time;small npy
results/baselines_new/plots,baselines_new_run_dir,baseline,,,,,,plots,False,4,621634,
